Time		Subtitle		Translation
00:02:47		 bin I empty the trash bin I tie up the full   		垃圾桶 我清空 垃圾 桶  我 把 整 个 袋子 扎 起来 
00:02:53		 bag I tie up the full bag I tie up the full bag   		我把整个袋子扎起来 我 把 整 个 袋子 扎 起来 
00:03:01		 I tie up the full bag I back up files on my   		我把整个袋子扎起来 我 在 我 的 电脑 上 备份 文件  我 在 我 的 
00:03:07		 computer I backup files on my computer I backup files on my   		电脑上备份文件 我 在 我 的 电脑 上 备份 文件 
00:03:16		 computer I back up files on my computer I back up files on my   		计算机 我在计算机上备份文件 我 在 计算机 上 备份 文件  我 
00:03:25		 computer I protect data from loss I protect data from   		保护数据免遭 丢失  我 保护 数据 免 遭 
00:03:32		 loss I protect data from loss I protect data from   		丢失 我保护数据免遭 丢失  我 保护 数据 免 遭 
00:03:41		 loss I protect data from loss I set the alarm   		丢失 我保护数据免遭 丢失  我 设置 
00:03:48		 clock I set the alarm clock I set the alarm   		闹钟 我设置 闹钟  我 设置 
00:03:55		 clock I check it twice over I check it twice   		闹钟 我检查了两次 
00:04:04		 over I check it twice over I chop vegetables for   		我检查了两次 我检查了两次 我 为 
00:04:11		 dinner I chop vegetables for dinner I chop vegetables for   		晚餐切蔬菜 我为晚餐切蔬菜 我为晚餐 切 蔬菜  我 
00:04:19		 dinner I chop vegetables for   		为 
00:04:24		 dinner I chop vegetables for dinner I mix spices in a a   		晚餐切蔬菜 我为晚餐切蔬菜 我 将 香料 混合 在 一 个 
00:04:31		 bowl I mix spices in a bowl I mix   		碗 我在一个碗里混合香料 我 
00:04:36		 spices in a bowl I mix spices in a   		在一个 碗里 混合 香料  我 在 一 个 
00:04:42		 bowl I bake cookies with my kids I bake cookies with my   		碗里混合香料 我和我的孩子们一起烤饼干 我和我的孩子们一起烤饼干 我和我的孩子们一起烤饼干 我和我的 
00:04:49		 kids I bake cookies with my kids I bake   		孩子们 一起 烤 
00:04:57		 cookies with my kids I bake cookies with my   		饼干 我和 我 的 
00:05:02		 kids I scrub the bathtub with cleaner I scrub the bathtub with   		孩子们一起烤饼干 我 用 清洁剂 擦洗 浴缸  我 用 
00:05:10		 cleaner I scrub the bathtub with cleaner I scrub the bathtub with   		清洁剂擦洗浴缸 我用 清洁剂 擦洗 浴缸  我 用 清洁剂 擦洗 
00:05:19		 cleaner I scrub the bathtub with cleaner I stir the soup while   		浴缸 我用清洁剂擦洗浴缸 我做饭 时 搅拌 汤  我 做 饭 
00:05:26		 cooking I stir the soup while cooking I stir the soup while   		时搅拌汤 我 做饭 时 搅拌 汤 
00:05:34		 cooking I stir the soup while cooking I stir the soup while   		我搅拌汤 一边 煮 汤 一边 搅拌 汤 
00:05:42		 cooking I taste it for seasoning I taste it for   		我尝尝 调味料  我 尝尝 
00:05:48		 seasoning I taste it for seasoning I taste it for   		调味料 我尝尝 调味料  我 尝尝 
00:05:56		 seasoning I water the plants in the evening   		调味料 我在晚上给植物浇水 我 
00:06:01		 I water the plants in the evening I water the plants in the   		在晚上给植物浇水 我 在 晚上 给 植物 浇水 
00:06:10		 evening I water the plants in the evening I trim them on   		我晚上给植物浇水 我 在 周末 修剪 它们 
00:06:16		 weekends I trim them on weekends I trim them on   		我在 周末 修剪 它们  我 在 
00:06:24		 weekends I trim them on weekends I load the water washing   		周末修剪它们 我在周末修剪它们 
00:06:29		 machine with clothes I load the washing machine with   		我 在 水洗机 里 装满 衣服  我 在 洗衣机 里 装满 
00:06:35		 clothes I load the washing machine with clothes I load the washing machine with   		衣服 我在洗衣机里装满 衣服  我  在 洗衣机 中 装入 
00:06:46		 clothes I load the washing machine with clothes I add detergent before   		衣物 我在洗衣机中装入 衣物  我 在 
00:06:53		 starting I add detergent before starting I add detergent   		启动前添加洗涤剂 我在 启动 前 添加 洗涤剂  我 在 
00:07:00		 before starting I add detergent before   		启动 前 添加 洗涤剂  我 在 启动 前 添加 洗涤剂 
00:07:06		 starting I sign the delivery confirmation I sign the delivery   		我签署交货 确认 书  我 签署 交货 
00:07:15		 confirmation I sign the delivery confirmation I collect the awaited   		确认书 我签署交货 确认 书  我 收集  等待 的 
00:07:22		 parcel I collect the awaited parcel I collect the awaited parcel   		包裹 我收集 等待的 包裹  我 收集 等待 的 包裹 
00:07:31		 I collect the awaited parcel I clean under the   		我收集等待的 包裹  我 
00:07:37		 furniture I clean under the furniture I clean under the   		清洁家具下面 我清洁 家具 下面  我 清洁 
00:07:45		 furniture I clean under the furniture I vacuum behind the   		家具下面 我清洁家具下面 我 在 沙发 后面 吸尘 
00:07:51		 couch I vacuum behind the couch I vacuum behind the couch   		我在沙发后面吸尘 我 吸尘  沙发 后面 
00:08:00		 I vacuum behind the couch I watch TV in the   		我在沙发后面吸尘 我 晚上 看 电视  我 
00:08:07		 evenings I watch TV in the evenings I watch TV in the   		晚上 看 电视  我 晚上 看 电视 
00:08:14		 evenings I watch TV in the evenings I switch it off by   		我晚上看电视 我在 
00:08:21		 10: I switch it off by 10: I switch it off by   		10 点之前关掉它： 我在 10  点 之前 关掉 它 ：  我 在  10  点 之前 关掉 它 
00:08:28		 10 I switch Swit It Off by 10 I check the expiry dates on   		10 点前关闭 10  点 前 关闭  我 检查 
00:08:35		 products I check the expiry dates on products I check the expiry dates on   		产品的有效期 我 检查 产品 的 有效期  我 检查 
00:08:46		 products I check the expiry dates on products I clean out expired   		产品的有效期 我检查 产品 的 有效期  我 清除 过期 
00:08:53		 food I clean out expired food I clean out expired   		食品 我清除过期 食品  我 清除  过期 
00:09:03		 food I clean out expired food I quue at the   		食品 我清理过期 食品  我 在 
00:09:10		 checkout I quue at the checkout   		结账处排队 我在结账处 排队 
00:09:15		 iqe at the checkout I cue at the   		iqe 在 结账处  我 在 结账处 提示 
00:09:20		 checkout I pay with a card I pay with a   		我用卡支付 我用 
00:09:26		 card I pay with a card I pay with a   		卡支付 我用卡支付 我 用 
00:09:34		 card I pour coffee into a cup I pour coffee into a   		卡支付 我将咖啡倒入 一个 杯子  我 把 咖啡倒进 一 个 
00:09:41		 cup I pour coffee into a cup I pour coffee into a   		杯子 我把咖啡倒进一个 杯子  我 把 咖啡倒进 一 个 
00:09:50		 cup I pour coffee into a cup I add a dash of   		杯子 我把咖啡倒进一个 杯子  我 加 一点 
00:09:56		 cream I add a dash of cream I add a dash of   		奶油 我加一点奶油 我 加 一点 
00:10:03		 cream I add a dash of cream I add a dash of   		奶油 我加一点 奶油  我 加 一点 
00:10:12		 cream I scan the barcode I scan the   		奶油 我扫描 条形码  我 扫 描 
00:10:18		 barcode I scan the barcode I scan the   		条形码 我 扫 描条 形码  我 扫 描 
00:10:26		 barcode I bag my groceries I bag my   		条形码 我装进我的杂货 我 装进 我 的 
00:10:33		 groceries I bag my groceries I air out the rooms   		杂货 我装进我的 杂货  我 每 天 给 房间 通风  我 每 天 给 
00:10:40		 daily I air out the rooms daily I air out the rooms   		房间通风 我每天 给 房间 通风 
00:10:47		 daily I air out the rooms daily I air out the rooms   		每天给房间通风 我 每 天 给 房间 通风  我 每 天 给 房间 通风  我 
00:10:54		 daily I close windows at night I close windows at   		晚上 关窗  我 
00:11:01		 night I close windows at night I close windows at   		晚上关窗 我 晚上 关窗  我 晚上 关窗  我 把 
00:11:08		 night I wipe the mirror clean I wipe the mirror   		镜子擦 干净  我 把 镜子 擦 
00:11:16		 clean I wipe the mirror clean I see my   		干净 我把镜子擦 干净  我  看到 我 的 
00:11:21		 reflection I see my reflection I see my reflection   		倒影 我看到我的 倒影  我 看到 我 的 倒影  饭 后 
00:11:30		 I push in dining chairs after meals I push in dining chairs after   		推入餐椅 我 
00:11:37		 meals I push in dining chairs after meals I push in dining chairs after   		饭后推入餐椅 我饭后推 入餐椅  我 饭 后 推入 餐椅  我 饭 后 
00:11:49		 meals I push in dining chairs after meals I pay bills   		推入餐椅 我 在线 支付 账单 
00:11:55		 online I pay bills online I pay bills   		我在线支付账单 我 
00:12:04		 online I pay bills online I change sheets   		在线支付账单 我在线支付账单 我 
00:12:11		 weekly I change sheets weekly I change sheets   		每周更换床单 我 每 周 更换 床单 
00:12:18		 weekly I change sheets weekly I clean the coffee maker   		我每周更换床单 我每周更换床单 我 
00:12:25		 monthly I clean the coffee maker monthly I clean the coffee maker   		每月清洁咖啡机 我每月清洁咖啡机 我 每 月 清洁 咖啡机 
00:12:35		 monthly I clean the coffee maker monthly I wash the car on sunny   		我清洁咖啡 制造商 每 月  我 在 晴天 洗车 
00:12:43		 days I wash the car on sunny days I wash the car on sunny days I wax   		我在晴天洗车 我 在 晴天 洗车  我 给 它 打蜡 
00:12:51		 it for extra shine I wax it for extra shine   		以增加 光泽  我 给 它 打蜡 以 增加 光泽 
00:12:59		 I wax it for extra shine I wax it for extra   		我给它打蜡以增加 光泽  我 给 它 打蜡 以 增加 
00:13:05		 shine I write notes on sticky pads I write notes on sticky   		光泽 我写笔记 我在便利贴上 写 笔记 
00:13:13		 pads I write notes on sticky pads I write notes on sticky   		我在便利贴上写笔记 我 在 便利 贴上 写 笔记 
00:13:21		 pads I stick them on the fridge I stick them on the fridge   		我把它们贴在 冰箱 上  我 把 它们 贴 在 冰箱 上 
00:13:29		 I stick them on the fridge I stick them on the   		我把它们贴在 冰箱 上  我 把 它们 贴 在 
00:13:36		 fridge I repaint the bedroom walls I repaint the bedroom   		冰箱上 我重新粉刷卧室墙壁 我 重新 粉 刷卧室 
00:13:43		 walls I repaint the bedroom walls I match the decor with   		墙壁 我重新粉刷卧室 墙壁  我 小心 地 搭配 装饰 
00:13:51		 care I match the decor with care I match the decor   		我小心地搭配装饰 
00:14:00		 with care I match the decor with   		我 小心 地 搭配 装饰  我 小心 地 搭配 装饰 
00:14:05		 care I feed the pets at night I feed the pets at   		我晚上喂宠物 我 晚上 喂 
00:14:12		 night I feed the pets at night I feed the pets at   		宠物 我喂宠物 晚上  我 晚上 喂宠物  我 
00:14:21		 night I feed the pets at night I walk them in the park   		晚上喂宠物 我 在 公园 里 遛 它们 
00:14:30		 I walk them in the park I walk them in the   		我在公园里遛它们 我 在 
00:14:35		 park I walk them in the park I check the weather   		公园里遛它们 我在 公园 里 遛 它们  我 检查 天气 
00:14:42		 app I check the weather app I check the weather   		应用程序 我检查天气 应用 程序  我 检查  天气 
00:14:48		 app I grab an umbrella just in case I grab an umbrella just in   		应用程序 我抓起雨伞以防万一 我 抓 起 雨伞 以 防 万一 
00:15:00		 umbrella just in case I grab an umbrella just in   		我 抓 起 雨伞 以 防 万一 我 抓 起 雨伞 以 防 万一 我 在 
00:15:07		 case I swipe my badge at work I swipe my badge at   		工作 中 刷卡  我 在 
00:15:15		 work I swipe my badge at work I swipe my badge at   		工作中刷卡 我在 工作 中 刷卡  我  在 
00:15:22		 work I hear the scanner beep I hear the scanner beep   		工作时刷卡 我听到扫描仪嘟嘟 声  我 听到 扫描仪 嘟嘟 声  我 
00:15:29		 I hear the scanner beep I park my car in the   		听到扫描仪嘟嘟 声  我 把 车停 在 停车场  我 把 
00:15:35		 lot I park my car in the lot I park my car in the   		车停在停车场 我 把 车停 在 停车场 
00:15:43		 lot I park my car in the lot I park my car in the   		我把车停在停车场 我 把 车停 在 停车场  我 的 车 在 
00:15:51		 lot I grab my belongings and go I grab my belongings and go   		停车场 我拿上我的东西然后 走  我 
00:16:00		 I grab my belongings and go I grab my belongings and   		拿上我的东西然后 走  我 拿 上 我 的 东西 然后 走  我 拿 上 我 的 东西 然后 
00:16:07		 go I spray perfume lightly I spray perfume   		走 我 轻轻 地 喷洒香水  我 轻轻 地 喷洒香水  我 
00:16:15		 lightly I spray perfume lightly I head out the   		轻轻 地 喷洒香水  我 走 出门 
00:16:21		 door I head out the door I head out the   		我走出门 门  我 走出 
00:16:27		 door I I pick up clutter daily I pick up clutter   		门 I 我每天收拾杂物 我每天 收拾 杂物  我 每 天 
00:16:34		 daily I pick up clutter daily I pick up clutter   		收拾杂物 我每天收拾杂物 我每周 
00:16:40		 daily I deep clean weekly I deep clean   		深度清洁 我 
00:16:46		 weekly I deep clean weekly I deep clean   		每周深度清洁 我每周深度清洁 我 每 周 深度 清洁 
00:16:53		 weekly I switch on the computer screen I switch switch on the computer   		我打开电脑 屏幕  我 打开  打开 计算机 
00:17:01		 screen I switch on the computer screen I switch on the computer   		屏幕 我打开计算机 屏幕  我 打开 计算机 
00:17:09		 screen I log in with my password I log in with my   		屏幕 我用我的 密码 登录  我 用 我 的 
00:17:16		 password I log in with my password I log in with my   		密码 登录  我 用 我 的 密码 登录  我 用 我 的 
00:17:25		 password I wipe down counters after cooking   		密码登录 我做饭后擦拭柜台 
00:17:29		 I wipe down counters after cooking I wipe down counters after   		我擦拭 做饭 后擦拭 柜台  做饭 后擦拭 柜台 
00:17:36		 cooking I wipe down counters after cooking I scrub pots and   		做饭 后擦拭 柜台  我 擦 洗锅碗瓢盆  我 
00:17:43		 pans I scrub pots and pans I scrub pots and   		擦洗锅碗瓢盆  我 
00:17:51		 pans I scrub pots and pans I pour milk into my cereal   		擦洗锅碗瓢盆 我擦洗锅碗瓢盆 我 将 牛奶 倒入 麦片 中  我 
00:17:59		 I pour milk into my cereal I pour milk into my   		将牛奶倒入 麦片 中  我 倒入 牛奶 
00:18:07		 cereal I pour milk into my cereal I sprinkle sugar on   		我把牛奶倒入麦片中 我 在 上面 撒糖 
00:18:13		 top I sprinkle sugar on top I sprinkle sugar on   		我在上面撒糖 我 在 
00:18:21		 top I sprinkle sugar on top I stock up on cleaning supplies   		上面撒糖 我在上面撒糖 我 储备 清洁 用品 
00:18:30		 I stock up on cleaning supplies I stock up on cleaning   		我储备清洁 用品  我 储备 清洁 
00:18:38		 supplies I stock up on cleaning supplies I unclog drains when   		用品 我储备 关于清洁 用品  我 需要 时 疏通 排水管  我 
00:18:44		 needed I unclog drains when needed I unclog drains when   		需要 时 疏通 排水管  我 需要 
00:18:52		 needed I unclog drains when needed I start the car   		时疏通排水管 我需要时疏通排水管 
00:19:00		 engine I start the car engine I start the car   		我启动汽车发动机 我启动汽车 发动机  我 启动 汽车 
00:19:07		 engine I start the car engine I buckle up for   		发动机 我启动汽车 发动机  我 系好 安全 带 ， 以 确保 
00:19:13		 safety I buckle up for safety I buckle up for   		安全 我系好安全带 为了 安全  我 系好 安全 带 
00:19:20		 safety I buckle up for safety I turn on the   		我系好 安全 带  我 打开 
00:19:27		 stove I turn on on the stove I turn on the   		炉子 我打开 炉子  我 打开 
00:19:34		 stove I wait for it to heat up I wait for it to heat   		炉子 我等待它加热 我 等待 它 
00:19:41		 up I wait for it to heat up I replace smoke alarm batteries   		加热 我等待它 加热  我 每 年 更换 烟雾 报警器 电池  我 
00:19:49		 annually I replace smoke alarm batteries annually I replace smoke alarm batteries   		每 年 更换 烟雾 报警器 电池  我 每 年 更换 烟雾 报警器 电池  我 每 年 
00:20:00		 annually I replace smoke alarm batteries annually I test them monthly for   		更换烟雾报警器电池 我 每 月 测试 它们 的 
00:20:08		 safety I test them monthly for safety I test them monthly for   		安全性 我每月测试它们的 安全性  我 每 月 测试 它们 的 安全性  我 
00:20:16		 safety I test them monthly for safety I clean out the fridge   		每月测试它们的 安全性  我 清洁  每 周 清理 冰箱 
00:20:25		 weekly I clean out the fridge weekly I clean out the fridge   		我每周清理冰箱 我 
00:20:32		 weekly I declutter my workspace often I declutter my   		每周清理冰箱 我经常整理我的工作区 我 
00:20:39		 workspace often I declutter my workspace   		经常 整理 我 的 工作区  我 经常 整理 我 的 工作区  我 经常 把 
00:20:46		 often I flip the pancake in the pan I flip the pancake in the   		煎饼放在 平底锅 里  我 把 煎饼 放 在 
00:20:54		 pan I flip the pancake in the pan I flip the pancake in the   		平底锅里 我把煎饼翻进去 平底锅 我 把 煎饼 翻到 平底锅 里 
00:21:02		 pan I watch it Sizzle and brown I watch it Sizzle and   		我看着它 嘶嘶作响，变成棕色 
00:21:09		 brown I watch it Sizzle and   		我看着它 嘶嘶作响，变成棕色 
00:21:17		 brown I watch it Sizzle and brown I lay out clothes the night   		我看着它 嘶嘶作响，变成棕色 我看着它 嘶嘶作响，变成 棕色  我 
00:21:25		 before I lay out clothes the night before   		在前一天晚上把衣服铺好 在我铺好衣服的前一天晚上 前一天 
00:21:30		 I lay out clothes the night before I lay out clothes the night   		晚上 穿 衣服  前 一 天 晚上 
00:21:36		 before I review outfits in the mirror I review outfits in the   		我对着镜子审视着装 我 对着 镜子 审视 着装 
00:21:43		 mirror I review outfits in the mirror I review outfits in the   		我 对着 镜子 审视 着装  我 对着 镜子 审视 着装  我 
00:21:52		 mirror I apply sunscreen generously I apply sunscreen generously   		大量 涂抹 防晒霜  我 大量 涂抹 防晒霜 
00:21:59		 L I apply sunscreen generously I apply sunscreen   		L 我大量涂抹防晒霜 我大量涂抹 防晒霜 
00:22:08		 generously I apply sunscreen generously I protect my skin from   		我慷慨地涂抹防晒霜 我 保护 我 的 皮肤 免受 
00:22:15		 Sun I protect my skin from Sun I protect my skin from   		阳光照射 我 保护 我 的 皮肤 免 受 阳光 照射  我 保护 我 的 皮肤 免受 
00:22:25		 Sun I protect my skin from Sun I sign my name   		阳光照射 我保护我的皮肤免受阳光照射 我 
00:22:32		 quickly I sign my name quickly I sign my name   		快速签下我的名字 我快速签下我的名字 我 
00:22:39		 quickly I sign my name quickly I fill out the   		快速签下我的名字 我快速签下我的名字 我  填 写 
00:22:45		 form I fill out the form I fill out the   		表格 我填写 表格  我 填 写 
00:22:52		 form I make my bed every morning I make my bed every   		表格 我每天早上整理床铺 我 每 天 早上 整理 床铺  我 每 天 早上 
00:23:00		 morning I make my bed every morning I make my bed every   		整理 床铺  我 每 天 早上 整理 床铺 
00:23:08		 morning I load the dishwasher after dinner I load the dishwasher after   		晚餐 后 将 洗碗机 装入 洗碗机  晚餐 后 将 洗碗机 装入 洗碗机 
00:23:16		 dinner I load the dishwasher after dinner I load the dishwasher after   		晚饭 后 我 把 洗碗机装上  晚饭 后 把 洗碗机装上 
00:23:26		 dinner I scroll through social media I scroll through social   		我滚动浏览社交 媒体  我 滚动 浏览 社交 
00:23:33		 media I scroll through social media I scroll through social   		媒体 我 滚动 浏览 社 交 媒体  我 滚动 浏览 社交 
00:23:41		 media I lose track of time I lose track of   		媒体 我忘记了 时间  我 忘记 了 
00:23:47		 time I lose track of time I lose track of   		时间 我忘记了 时间  我 忘记 了 
00:23:55		 time I lose track of time I peel a rip   		我忘记了时间 我 剥 了 一 个 撕开 的 
00:24:02		 banana I peel a rip banana I peel a ripe   		香蕉 我剥了一个撕破的 香蕉  我 剥 了 一 个 成熟 的 
00:24:10		 banana I peel a ripe banana I peel a ripe   		香蕉 我剥了一个成熟的 香蕉  我 剥 了 一 个 成熟 的 
00:24:16		 banana I enjoy its sweet taste I enjoy its sweet   		香蕉 我享受它的甜味 我享受它的甜味 我 
00:24:24		 taste I enjoy its sweet taste I enjoy its sweet   		享受它的甜味 我 享受 它  甜蜜 的 
00:24:32		 taste I organize my closet by color I organize my closet by   		味道 我按颜色整理我的衣柜 我 按 颜色 整理 我 的 衣柜 
00:24:40		 color I organize my closet by color I organize my closet by   		我按 颜色 整理 我 的 衣柜  我 按 
00:24:48		 color I donate clothes I don't wear I donate clothes I don't   		颜色整理我的衣柜 我捐赠我不 穿 的 衣服  我 捐赠 我 不 
00:24:55		 wear I donate clothes I don't wear I donate clothes I don't   		穿的衣服 我捐赠我不 穿 的 衣服  我 捐赠 不 
00:25:03		 wear I wipe down the bathroom counters I wipe down the bathroom   		穿的衣服 我擦拭浴室 柜台  我 擦拭浴室 
00:25:11		 counters I wipe down the bathroom counters I disinfect the toilet   		柜台 我擦拭浴室 柜台  我 定期 对 厕所 进行 消毒  我 
00:25:18		 regularly I disinfect the toilet regularly I disinfect the toilet   		定期 对 厕所 进行 消毒  我 定期 对 厕所 进行 消毒  我 
00:25:26		 regularly I disinfect infect the toilet regularly I disinfect the toilet   		定期对厕所进行消毒 感染厕所 我 对 厕所 进行 消毒 
00:25:37		 regularly I disinfect the toilet regularly I take out the trash at   		定期上厕所 我定期对厕所进行消毒 我 在 
00:25:44		 night I take out the trash at night I take out the trash at   		晚上倒垃圾 我在晚上 倒 垃圾 
00:25:52		 night I take out the trash at night I take out the trash at   		我在晚上倒垃圾 我在晚上倒垃圾 我 在 
00:25:59		 night I recycle whenever possible I recycle whenever   		晚上倒垃圾 我尽可能回收利用 我 尽可能 回收 利用 
00:26:07		 possible I recycle   		我 
00:26:11		 whenever possible I recycle whenever   		尽可能 回收  我 尽可能 回收 
00:26:17		 possible I refresh the bathroom towels I refresh the bathroom   		我翻新浴室 毛巾  我 翻 新 
00:26:26		 towels I refresh the bathroom towels I hang them neatly after   		浴室毛巾 我翻新浴室 毛巾  使用 后 将 它们 悬挂 整 齐  我 使用 后 将 
00:26:32		 use I hang them neatly after use I hang them neatly after   		它们悬挂整齐 我使用 后 将 它们 悬挂 整 齐 
00:26:43		 use I hang them neatly after use I open the fridge   		我使用后将它们悬挂整齐 我 打开  冰箱 
00:26:50		 door I open the fridge door I open the fridge door   		门 我打开冰箱 门  我 打开 冰箱门 
00:26:58		 I open the fridge door I scan for something   		我打开冰箱 门  我 扫描 有 
00:27:04		 tasty I scan for something tasty I scan for something   		好吃的东西 我 扫描 有 
00:27:12		 tasty I scan for something tasty I replace light bulbs when they   		好吃的东西 我扫描有好吃的东西 我扫描有 好 吃 的 东西  当 灯泡 闪烁 时 我 更换 灯泡  当 灯泡 闪烁 时 
00:27:20		 flicker I replace light bulbs when they flicker I replace light bulbs when they   		我更换灯泡 闪烁  灯泡 闪烁 时 我 更换  灯泡 闪烁 
00:27:27		 flicker I replace light bulbs when they   		时 我 更换 灯泡  我 
00:27:32		 flicker I dust ceiling fans regularly I dust ceiling   		定期 为 吊扇 除尘  我 定期 为 
00:27:39		 fans regularly I dust ceiling fans   		吊扇 除尘  我 
00:27:48		 regularly I dust ceiling fans   		定期为吊扇除尘 我 
00:27:52		 regularly I unlock the front door I unlock the front door   		定期为吊扇除尘 我解锁前门 我 解锁 前门 
00:27:59		 I unlock the front door I unlock the front   		我解锁 前门  我 打开 前门  我 
00:28:05		 door I step inside relieved I step inside   		如 释重负 地 走 进去  我 如 释重负 地 走 进去  我 如 释重负 地 走 进去  我 如 释重负 地 走 进去  我 
00:28:20		 relieved I step inside relieved I sweep the porch every Sunday   		如 释重负 地 走 进去  我 每 周 日 打扫 门廊  我 每 周 日 打扫 门廊  我 每 周 日 打扫 门廊  我 每 周 日 打扫 门廊  我 每 周 日 打扫 
00:28:29		 I sweep the porch every Sunday I sweep the porch every   		门廊  我 每 周 日 打扫 门廊  我 每 周 日 
00:28:37		 Sunday I sweep the porch every Sunday I plant flowers in the   		打扫门廊 我每周日打扫门廊 在 花园 里 种 花 
00:28:44		 garden I plant flowers in the garden I plant flowers in the   		我在花园里种花 我 在 
00:28:53		 garden I plant flowers in the garden I bake bread on   		花园里种花 我在花园里种花 我 
00:29:00		 weekends I bake bread on weekends I bake bread on   		周末烤面包 我 周末 烤面包  我 
00:29:08		 weekends I bake bread on weekends I bake bread on   		周末烤面包 我 周末 烤面包  我 周末 烤面包 
00:29:16		 weekends I make coffee to start my day I make coffee to start my   		我做 咖啡来开始我的 一 天  我 煮 咖啡 来 开始 我 的 
00:29:24		 day I make coffee to start my day I make coffee to start my   		一天 我煮咖啡来开始我的一天 我 煮 咖啡 来 开始 我 的 
00:29:35		 day I make coffee to start my day I relax on the sofa at   		一天 我煮咖啡来开始我的 一 天  我 晚上 在 沙发 上 放松 
00:29:43		 night I relax on the sofa at night I   		我晚上在沙发上放松 我在沙发 
00:29:48		 relax on the sofa at night I relax on the sofa at   		上放松 晚上在沙发上 我 晚上 在 沙发 上 放松 
00:29:57		 night I relax on the sofa at night I read a book before   		我晚上在沙发上放松 我 睡 前 看 书  我 
00:30:03		 bed I read a book before bed I read a book before   		睡 前 看 书  我 睡 前 看 书  我 
00:30:10		 bed I respond to emails daily I respond to   		每 天 回复 电子 邮件  我 每 天 回复 
00:30:17		 emails daily I respond to emails   		电子邮件 我 每 天 回复 电子 邮件 
00:30:23		 daily I respond to emails daily I I archive important   		每天 我每天回复电子邮件 我 归档 重要 的 
00:30:31		 ones I archive important ones I archive important   		衣物 我 归档 重要 的 衣物  我 
00:30:39		 ones I sort laundry by color I sort laundry by   		归档重要的衣物 按 颜色 分类衣物  按 
00:30:45		 color I sort laundry by color I sort   		颜色分类衣物 我按颜色分类衣物 我 按 
00:30:52		 laundry by color I sort laundry by color   		颜色 分类衣物  我 按 颜色 分类衣物 
00:30:59		 I fold clothes neatly afterwards I fold clothes neatly   		我折叠后整齐地折叠衣服 
00:31:06		 afterwards I fold clothes neatly afterwards I fold clothes neatly   		然后把衣服叠整齐 我把衣服叠整齐 然后 把 衣服 叠整 齐 
00:31:15		 afterwards I type on the keyboard I type on the   		我在键盘上打字 我 在 
00:31:22		 keyboard I type on the keyboard I hear Keys click Softly   		键盘上打字 我在键盘上打字 我听到 按 键轻轻 地 咔嗒声  我 听到 
00:31:29		 I hear Keys click softly I hear Keys click   		按键轻轻地咔嗒声 我听到按键轻轻地咔嗒声 
00:31:37		 softly I hear Keys click softly I double check locks before   		我听到按键轻轻地咔嗒声 我 双 击  睡 前 检查锁  睡 前 
00:31:46		 bed I double check locks before bed I double check locks before   		仔细检查锁 我睡前 仔细 检查锁  我 
